,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nizwá,0,OM,1604282371,32,22.93,57.53,59.31,2.35
1,Dzhebariki-Khaya,0,RU,1604282372,83,62.22,135.8,-4.76,3.27
2,Miles City,1,US,1604282373,39,46.41,-105.84,50.0,5.82
3,Chai Badan,74,TH,1604282374,77,15.2,101.13,79.36,10.31
4,Pak Phanang,40,TH,1604282376,94,8.35,100.2,80.6,4.7
5,Narsimhapur,1,IN,1604282377,47,22.95,79.2,67.95,1.66
7,Tongchuanshi,0,CN,1604282380,39,35.08,109.09,52.74,4.65
8,Dingle,72,PH,1604282381,81,11.0,122.67,82.98,13.02
10,São Filipe,100,CV,1604282357,78,14.9,-24.5,78.51,8.05
11,Ponta do Sol,40,PT,1604282385,82,32.67,-17.1,68.0,4.7
12,Laguna,1,US,1604282386,35,38.42,-121.42,71.6,2.48
14,Pevek,100,RU,1604282378,96,69.7,170.31,13.93,8.25
15,Baiyin,0,CN,1604282390,51,36.56,104.21,46.99,4.47
16,Hilo,1,US,1604282391,66,19.73,-155.09,84.2,5.82
17,Kapaa,75,US,1604282364,78,22.08,-159.32,80.6,11.41
18,Arvika,100,SE,1604282358,100,59.66,12.59,50.0,21.92
19,Wuwei,1,CN,1604282394,49,37.93,102.64,44.96,0.98
22,Klyuchi,100,RU,1604282398,87,52.27,79.17,34.74,5.86
23,Manaure,100,CO,1604282399,78,11.78,-72.44,82.33,11.23
24,Marsh Harbour,0,BS,1604282401,83,26.54,-77.06,79.92,7.7
25,Glace Bay,75,CA,1604282403,81,46.2,-59.96,50.0,14.99
26,Hasaki,75,JP,1604282404,82,35.73,140.83,68.0,12.75
27,Korla,0,CN,1604282380,63,41.76,86.15,41.4,3.85
29,Mogadishu,61,SO,1604282410,80,2.04,45.34,78.75,7.4
35,Butaritari,66,KI,1604282360,77,3.07,172.79,82.24,9.89
36,Tazovsky,100,RU,1604282420,97,67.47,78.7,20.46,14.63
37,Rize,100,TR,1604282421,100,40.9,40.89,40.55,2.39
38,Saint Paul Harbor,90,US,1604282422,39,57.79,-152.41,30.2,14.99
39,Umm Kaddadah,18,SD,1604282423,25,13.6,26.69,78.37,22.28
42,George Town,20,MY,1604282427,88,5.41,100.34,80.6,3.36
44,Pocatello,1,US,1604282430,32,42.87,-112.45,52.0,4.7
45,Albany,97,US,1604282337,77,42.6,-73.97,41.0,8.46
46,Forsytheganj,100,BY,1604282432,85,52.63,29.73,43.2,7.78
49,Zyryanskoye,100,RU,1604282437,96,56.83,86.63,34.66,12.17
53,Margate,100,GB,1604282442,85,51.38,1.39,63.0,5.99
54,Nouakchott,100,MR,1604282166,73,18.09,-15.98,73.4,8.05
56,Talnakh,75,RU,1604282446,85,69.49,88.4,19.4,6.71
57,Shache,38,CN,1604282447,70,38.42,77.24,36.91,1.83
59,Chernyshevskiy,100,RU,1604282450,91,63.01,112.47,6.08,10.33
61,Tasiilaq,0,GL,1604282452,74,65.61,-37.64,28.4,4.7
62,Tagusao,100,PH,1604282443,75,9.19,117.81,83.32,13.22
63,Santa Rosa,75,PH,1604282310,78,14.31,121.11,86.0,5.82
65,Bilma,0,NE,1604282457,28,18.69,12.92,68.38,10.18
66,Braniewo,99,PL,1604282459,86,54.38,19.82,48.87,15.23
68,Gračanica,20,BA,1604282462,100,44.7,18.31,48.0,1.99
69,Sovetskiy,88,RU,1604282422,95,61.36,63.58,26.38,6.38
70,Dul'durga,39,RU,1604282465,83,50.68,113.59,19.31,13.33
72,Tamugan,40,PH,1604282467,66,7.23,125.38,86.0,3.36
73,Monchegorsk,100,RU,1604282468,91,67.94,32.87,37.33,13.22
74,Pamplonita,100,CO,1604282470,78,7.44,-72.64,63.19,1.14
76,Kajaani,90,FI,1604282472,86,64.23,27.73,39.2,13.87
77,Saskylakh,91,RU,1604282473,89,71.92,114.08,-8.32,10.54
78,Sobolevo,100,RU,1604282248,91,54.43,31.9,41.59,8.08
79,Erzin,84,TR,1604282476,69,36.96,36.2,66.0,3.0
80,Warrington,75,GB,1604282477,72,53.39,-2.58,64.4,26.4
81,Mahibadhoo,0,MV,1604282479,71,3.78,72.97,82.4,5.55
82,Tura,97,IN,1604282289,91,25.52,90.22,73.6,1.39
83,Fukuechō,75,JP,1604282415,93,32.69,128.84,62.6,10.29
85,Khatanga,100,RU,1604282484,95,71.97,102.5,6.55,6.82
86,Half Moon Bay,1,US,1604282247,87,37.46,-122.43,69.01,8.05
87,Pointe Michel,78,DM,1604282486,79,15.25,-61.38,80.98,18.57
88,Verkh-Usugli,0,RU,1604282488,80,52.7,115.17,15.93,6.85
89,Kinlochleven,99,GB,1604282489,93,56.71,-4.97,48.0,5.01
90,Port Blair,4,IN,1604282490,73,11.67,92.75,82.4,4.5
92,Brae,89,GB,1604282493,81,60.4,-1.35,50.0,35.57
93,Lata,93,PT,1604282494,93,40.16,-8.33,64.99,1.23
94,Yellowknife,75,CA,1604282405,85,62.46,-114.35,12.2,18.34
95,Hatillo,1,PR,1604282496,78,18.49,-66.83,77.0,5.82
98,Chokurdakh,100,RU,1604282500,93,70.63,147.92,-0.51,12.08
99,Fortuna,1,US,1604282116,100,40.6,-124.16,54.0,1.54
101,Yangi Marg`ilon,100,UZ,1604282339,38,40.43,71.72,41.0,4.7
104,Barrow,75,US,1604282508,63,71.29,-156.79,28.4,21.92
107,Rabo de Peixe,75,PT,1604282512,82,37.8,-25.58,62.6,10.29
108,Vostok,50,RU,1604282513,87,46.49,135.88,34.14,5.41
109,Tuktoyaktuk,90,CA,1604282514,85,69.45,-133.04,14.0,12.75
111,Lethem,100,GY,1604282517,80,3.38,-59.8,78.62,5.91
115,Scottsbluff,1,US,1604282522,48,41.87,-103.67,46.0,4.7
116,West Odessa,1,US,1604282523,33,31.84,-102.5,60.8,6.93
118,Dikson,90,RU,1604282526,98,73.51,80.55,18.0,8.41
119,Yatou,0,CN,1604282527,38,37.15,122.38,58.93,8.55
120,Kyabé,100,TD,1604282528,77,9.45,18.94,74.84,2.1
121,Ayagoz,4,KZ,1604282529,89,47.97,80.44,29.55,3.06
123,Upernavik,99,GL,1604282344,92,72.79,-56.15,16.47,3.4
124,Berlevåg,100,NO,1604282533,84,70.86,29.09,43.41,34.05
125,Dudinka,75,RU,1604282534,85,69.41,86.18,19.4,6.71
126,Pacific Grove,1,US,1604282535,72,36.62,-121.92,63.0,3.83
127,Çarşamba,40,TR,1604282537,66,41.2,36.72,50.0,4.7
129,Hong Kong,100,HK,1604282452,61,22.29,114.16,80.01,1.01
132,Okhotsk,100,RU,1604282543,87,59.38,143.3,22.35,18.9
133,Chittarkonda,0,IN,1604282544,84,18.12,82.08,72.81,0.85
134,Olafsvik,96,IS,1604282546,91,64.89,-23.71,35.42,16.26
135,Hastings,100,GB,1604282512,90,50.86,0.57,62.01,13.0
136,Thompson,75,CA,1604282405,100,55.74,-97.86,21.2,3.36
138,Leningradskiy,83,RU,1604282551,83,69.38,178.42,17.01,4.43
139,Palamós,75,ES,1604282552,100,41.85,3.13,54.0,2.24
141,Kiryat Gat,100,IL,1604282555,83,31.61,34.76,70.0,1.99
143,Grindavik,75,IS,1604282557,74,63.84,-22.43,35.6,8.05
146,Muzhi,94,RU,1604282561,93,65.37,64.67,23.41,12.59
147,Kahului,40,US,1604282269,55,20.89,-156.47,87.8,10.29
148,Ţahţā,0,EG,1604282564,60,26.77,31.5,71.6,5.82
149,Paamiut,57,GL,1604282495,93,61.99,-49.67,25.56,5.68
151,Westport,100,US,1604282567,87,41.14,-73.36,48.99,18.12
152,Bar Harbor,90,US,1604282569,93,44.39,-68.2,51.01,4.7
153,Kudahuvadhoo,48,MV,1604282570,73,2.67,72.89,82.33,6.2
154,Bethel,90,US,1604282571,81,41.37,-73.41,48.2,11.41
156,Hay River,100,CA,1604282574,78,60.82,-115.8,17.6,11.41
157,Kushima,75,JP,1604282575,93,31.46,131.23,66.2,5.82
159,Boffa,0,GN,1604282577,89,10.17,-14.03,77.02,0.58
160,Halifax,100,CA,1604282579,82,44.65,-63.57,55.99,24.16
161,Linqiong,82,CN,1604282580,93,30.42,103.46,66.99,2.24
163,Olenino,100,RU,1604282583,93,56.21,33.49,37.29,7.07
165,Kropotkin,100,RU,1604282585,76,45.44,40.58,57.0,12.84
166,Leer,73,SS,1604282587,75,8.3,30.14,73.38,2.84
167,Kastamonu Province,100,TR,1604282588,78,41.5,33.67,41.25,2.73
168,Eilat,40,IL,1604282589,78,29.56,34.95,71.6,9.17
169,Longyearbyen,0,SJ,1604282591,69,78.22,15.64,35.6,28.86
171,Lanzhou,86,CN,1604282441,45,36.06,103.79,46.99,1.01
173,Homer,1,US,1604282487,32,59.64,-151.55,25.0,9.17
174,Saint George,1,US,1604281882,11,37.1,-113.58,71.6,3.36
176,Sitka,90,US,1604282297,76,57.05,-135.33,51.8,20.8
177,Swift Current,1,CA,1604282601,61,50.28,-107.8,44.6,13.87
179,Varkala,20,IN,1604282603,83,8.73,76.71,80.6,3.24
180,Hamilton,90,US,1604282408,44,39.18,-84.53,39.2,11.41
181,Celestún,58,MX,1604282606,80,20.87,-90.4,76.15,16.62
182,Berezovyy,99,RU,1604282607,90,51.67,135.7,33.87,4.0
183,Bad Langensalza,75,DE,1604282608,87,51.1,10.65,61.0,16.11
184,Fort-Shevchenko,10,KZ,1604282610,35,44.51,50.26,58.89,8.25
185,Sangar,100,RU,1604282543,90,63.92,127.47,-6.27,5.95
186,Jizan,0,SA,1604282413,69,17.33,42.67,80.6,9.17
187,Sinnamary,92,GF,1604282613,80,5.38,-52.95,80.85,10.45
190,Tateyama,75,JP,1604282520,93,34.98,139.87,68.0,14.99
191,Suruç,75,TR,1604282618,31,36.98,38.42,64.4,6.93
193,Nikolskoye,90,RU,1604282621,100,59.7,30.79,35.6,6.71
194,Praia da Vitória,75,PT,1604282622,82,38.73,-27.07,62.6,16.06
195,Soria,33,ES,1604282623,88,41.67,-2.67,52.0,1.99
196,Casablanca,75,MA,1604282624,100,33.59,-7.62,55.4,2.24
197,Robinsonville,5,US,1604282626,44,31.47,-97.11,60.8,3.36
198,Odesa,75,UA,1604282330,93,46.48,30.73,48.2,8.95
199,Nanortalik,0,GL,1604282480,89,60.14,-45.24,32.02,39.35
204,Roald,53,NO,1604282634,53,62.58,6.13,51.8,10.29
205,Anadyr,75,RU,1604282467,78,64.75,177.48,15.8,4.47
206,Ilanskiy,100,RU,1604282637,93,56.24,96.06,32.68,6.87
207,Port Hardy,75,CA,1604282490,76,50.7,-127.42,51.8,3.36
208,Sibu,40,MY,1604282640,83,2.3,111.82,80.6,4.7
209,Beringovskiy,100,RU,1604282541,93,63.05,179.32,24.71,2.77
210,Scarborough,100,GB,1604282600,86,54.28,-0.4,62.01,10.0
211,Araouane,93,ML,1604282643,15,18.9,-3.53,82.22,6.91
213,Puerto Escondido,0,MX,1604282539,72,15.85,-97.07,79.95,3.94
214,Hirara,75,JP,1604282647,69,24.8,125.28,78.8,8.05
215,Camopi,29,GF,1604282649,93,3.17,-52.32,74.14,2.21
216,San Patricio,1,US,1604282177,100,28.02,-97.52,69.8,4.7
217,Erenhot,0,CN,1604282651,70,43.65,111.98,25.32,12.91
218,Tezu,79,IN,1604282652,65,27.92,96.17,75.58,1.1
219,Gornopravdinsk,38,RU,1604282654,98,60.05,69.9,24.98,5.32
220,Torbay,20,CA,1604282655,74,47.67,-52.73,37.99,12.75
223,Gewanē,0,ET,1604282659,50,10.17,40.65,72.19,6.26
224,Eyl,0,SO,1604282660,66,7.98,49.82,77.67,11.03
225,Fort Nelson,90,CA,1604282661,85,58.81,-122.7,14.0,9.17
226,Jamestown,90,US,1604282663,92,42.1,-79.24,35.01,13.87
228,Provideniya,0,RU,1604282665,63,64.38,-173.3,26.6,6.71
229,Ribeira Grande,57,PT,1604282667,75,38.52,-28.7,63.07,18.3
230,Kidal,4,ML,1604282668,23,18.44,1.41,73.2,11.3
231,Wau,100,SS,1604282669,79,7.7,28.0,73.63,2.82
232,Norman Wells,75,CA,1604282670,77,65.28,-126.83,5.0,5.82
234,Avera,1,US,1604282673,87,33.19,-82.53,59.0,6.93
235,San Juan del Sur,100,NI,1604282674,88,11.25,-85.87,75.67,6.35
236,Toumodi,15,CI,1604282675,98,6.56,-5.02,71.6,3.33
237,Waddān,10,LY,1604282677,88,29.16,16.14,57.04,1.45
238,Litovko,0,RU,1604282678,71,49.24,135.17,38.79,9.51
239,Clyde River,75,CA,1604282679,78,70.47,-68.59,12.2,8.05
241,Kirovskiy,96,RU,1604282682,64,45.09,133.51,41.47,13.27
242,Krasnosel'kup,100,RU,1604282683,97,65.7,82.47,21.42,15.52
243,Myaundzha,63,RU,1604282684,87,63.05,147.19,-2.31,3.74
245,Slave Lake,1,CA,1604282606,75,55.28,-114.77,42.8,7.14
246,Vestmanna,39,FO,1604282688,87,62.16,-7.17,44.6,16.11
247,Gatesville,1,US,1604282690,50,31.44,-97.74,55.99,8.41
248,Arrondissement de Narbonne,11,FR,1604282691,88,43.08,2.83,54.0,1.01
249,Kankan,0,GN,1604282692,54,10.39,-9.31,73.18,3.11
251,Tiksi,0,RU,1604282695,90,71.69,128.87,-4.94,6.85
259,Mascota,7,MX,1604282705,68,20.52,-104.78,65.46,1.32
260,Ørsta,78,NO,1604282706,53,62.2,6.13,51.8,10.29
261,Tabas,0,IR,1604282707,25,33.6,56.92,53.6,2.24
262,Ati,32,TD,1604282709,20,13.22,18.34,81.05,9.75
267,Cherskiy,100,RU,1604282115,92,68.75,161.3,2.17,5.61
268,Zabul Province,0,AF,1604282716,82,32.25,67.25,32.14,1.83
270,Husavik,0,IS,1604282719,51,66.04,-17.34,39.2,5.82
271,Khovd,0,MN,1604282578,86,48.01,91.64,28.27,0.94
272,San Joaquin,1,US,1604282544,31,37.93,-121.3,73.4,8.05
273,Guerrero Negro,0,MX,1604282723,66,27.98,-114.06,70.25,10.89
275,Acapulco de Juárez,80,MX,1604282725,77,16.86,-99.89,80.82,5.79
276,Bani Walid,0,LY,1604282727,80,31.76,13.99,57.94,0.76
278,Orlovskiy,100,RU,1604282729,93,46.87,42.06,53.76,9.22
279,Teiu,72,RO,1604282731,65,44.67,25.1,43.23,2.95
281,Pinotepa Nacional,0,MX,1604282733,89,16.32,-98.02,75.7,1.23
282,Bam,0,IR,1604282734,49,29.11,58.36,51.31,2.37
283,Genhe,100,CN,1604282736,87,50.78,121.52,10.15,10.45
285,Muscat,0,OM,1604282738,72,23.61,58.59,64.4,5.82
286,Aklavik,89,CA,1604282739,92,68.22,-135.01,12.2,2.24
287,Cayenne,96,GF,1604282474,94,4.93,-52.33,77.0,6.93
289,Vardø,98,NO,1604282743,82,70.37,31.11,45.27,29.28
290,Fuyu,82,CN,1604282744,78,45.18,124.82,33.28,14.2
291,Hulan,49,CN,1604282746,50,45.98,126.6,35.01,12.86
292,Terrace,90,CA,1604282534,87,54.52,-128.6,50.0,24.16
293,Jalingo,91,NG,1604282748,41,8.88,11.37,76.06,2.44
